72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [20.350142 13.29652  41.6518   27.796968 45.43686 ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.324951 15.557799 11.755418 24.007404 38.563183]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [ 6.3632646 36.011497  15.624627  16.039665  30.615982 ]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [18.453882   13.874017    3.3261425   0.58506453 29.280985  ]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [29.623703   4.9006567 29.788294  27.245182  45.576786 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [13.163644 33.069725 21.314316 31.390461 34.774063]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [12.540529   3.3052468 24.838535  43.462505  22.841608 ]
a387407d49e209fdeea60824a43a0b_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [22.583136   3.9650702 14.310669  34.77856    8.049432 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [ 7.6115227 11.95104   17.414572  11.768389  39.555832 ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [31.915009 13.308153 20.804987 41.249435 36.611195]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [29.81419  32.152267 23.818953 42.263813 43.479332]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [ 7.7799215 13.064962   5.2417507 13.185439  26.01457  ]
6265f0745d3f40546bcd32c43682e841_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [14.521621  17.020382   7.0891747  2.0507498 34.21833  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [23.953405 32.15662  23.893908 25.034794 43.45531 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [14.583951 10.354252 12.646153 46.078365 22.932476]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [ 9.810776  12.820277   1.2144184  0.7682972 41.24582  ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [14.64994   11.876821   4.77473    3.2440593 28.226221 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [15.311149   3.1738234 22.890604  13.426731  31.713017 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [46.882763 19.560194 45.33966  44.061275 38.32684 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [33.48808  14.639955 45.996635 46.625698 51.913998]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [26.085564   5.5059085 15.201455  27.298847   3.1989503]
923007b377bb1cab473f10e6caaeca56_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [18.319563  6.23674   4.989973 35.36588  16.239511]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [37.8407    4.46823  28.537695 15.064906  8.14075 ]
9c827e532de4967285089a13cc567dbd_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [30.724987 16.566132  9.218149 12.331302 19.17523 ]
cde88b5900e8dfba725a7749daae1afa_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [22.601974 23.83431  16.079262 11.391567 48.583862]
9d2b7938d426633b28044fe9244db50a_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [12.905585 12.108669 39.28478  28.510157 10.59476 ]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [28.757498   3.2196689  7.789086   8.799682   2.0895066]
9d2b7938d426633b28044fe9244db50a_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [16.2604    8.730958 43.53212  22.459171 12.638227]
7dac31838b627748eb631ba05bd8dfe_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [26.959822 10.740912  3.483808 14.326458 16.628798]
c4941d6a2266813c3a2b1a2e5e169910_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [25.441017 11.428411 20.805275 11.217295 31.865713]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_20_40_20_240_40_400:gt ['20', '20', '20', '40', '20']:pred [15.312215   3.5645251  6.2617087 32.19804    6.404436 ]
9d2b7938d426633b28044fe9244db50a_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [12.922794 11.554724 39.88587  28.121468 10.644886]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [33.38318  21.515263  8.275223 29.085724 37.19493 ]
86c8a3137a716d70e742b0b5e87bec54_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [26.665333   6.2530665  3.7001827 39.997234  16.883799 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [18.045372   6.7932796 41.871685  13.71509   35.233402 ]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [ 4.642239   8.84703   12.24322    2.7795093 12.363983 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [11.028858    0.35912675 21.670305   21.947462   21.729366  ]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [41.921253 11.004747 43.319683 16.981314 32.588585]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [17.052544  5.870305 20.62766  54.073425 22.882307]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [18.836311   1.8368644  7.0417376  7.5518456  8.342374 ]
a387407d49e209fdeea60824a43a0b_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [10.827799   1.7092766 18.737051  26.198042   5.873557 ]
9d2b7938d426633b28044fe9244db50a_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [22.96399   9.472034 13.701844 23.479517 13.076599]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [15.03618  42.153557 11.752157 18.206951 35.663105]
216d910f71942f205df3c6413d40ccb2_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [18.65506     5.3763294  10.293333    0.46726286 24.949793  ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [39.182102 14.398178 37.05383  21.557228 25.753498]
1790131f5f74b1ed973aff268eb6b00c_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [20.383516   5.330765   5.9732327 34.24164   24.023623 ]
1790131f5f74b1ed973aff268eb6b00c_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [13.169295   4.6351247 15.397018  52.100933  17.96252  ]
5ec3322293a39816ad7e7cea4034d226_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [10.829319   5.9826007 33.331585  10.710603  41.432064 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 4.956397  3.568662 16.043144 12.614484 26.000202]
9c827e532de4967285089a13cc567dbd_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [19.321552 32.053474 25.446018 32.598236 47.39486 ]
425ba801e904cb50f3aaed7e86215c7b_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [18.14257   7.313155 11.930143 41.0287   26.238436]
7dac31838b627748eb631ba05bd8dfe_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [ 6.792408 14.811731 21.211988 10.630935 32.595993]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [22.115078 20.274803 12.311017 19.973837 42.789543]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [25.562284 24.045074 16.568493 43.548145 57.214176]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [13.208143   2.9331965 18.551334  34.3162    12.976219 ]
cde88b5900e8dfba725a7749daae1afa_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [27.61568    5.7750726 24.529272  10.958465  28.5226   ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [26.762205  22.409468  39.969784   4.3246546 21.559158 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [33.75236     7.743086    2.036026    9.918995    0.04744383]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [14.451008  23.777174   1.5840324  4.7024407 29.461464 ]
1a64bf1e658652ddb11647ffa4306609_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [36.094177  9.603426 28.90428  29.602095 35.371204]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [16.509256  8.420578 48.50814   8.568362 29.612411]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [12.10968  12.164705 10.677086 22.737436 38.150578]
1a64bf1e658652ddb11647ffa4306609_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [22.795181   5.2210836 13.86226   19.430805  11.790029 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [31.905655 21.941679 18.128206 23.893934  7.959144]
923007b377bb1cab473f10e6caaeca56_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [ 4.517161   5.3442917 11.932842   2.218745   4.47988  ]
923007b377bb1cab473f10e6caaeca56_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [14.776824  14.058115   2.1190515 11.505755  34.04998  ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [23.127186   9.698978   6.2186923 19.526094  41.70295  ]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [ 6.471515 14.539821 19.465359 13.825023 50.482464]
9c827e532de4967285089a13cc567dbd_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [22.571072  2.774375 40.55257  41.4133   15.069224]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.096043  4.626205 38.288795 22.183273 30.70881 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [35.24979    6.2684193 13.443388  22.762518  30.927044 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [10.644414   5.8737116 24.545124  31.543425  15.88318  ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [11.928527   3.2966826 25.16108   43.960804  22.966736 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [10.350716  26.417318  10.818171   3.9678864 39.433605 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [ 9.411472  21.66591   13.017622   4.8595824 40.743153 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [36.329514  18.869059  17.170576  25.427189   7.9554596]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [10.124922 14.583513 18.12029  12.446471 40.706997]
9d2b7938d426633b28044fe9244db50a_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [22.813414  9.004312 14.739626 22.599482 13.231709]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [29.130465  20.46019    2.2297451 22.066195  54.06302  ]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [11.664288 10.587729 17.246458 13.338203 39.95177 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [14.19577   15.279994   7.936908   5.4200444  5.786608 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [16.248528   2.0254807 29.287788  11.5015545 31.859833 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [12.326411  6.175457 19.498745 18.723085 12.82181 ]
cde88b5900e8dfba725a7749daae1afa_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [20.311646   5.2549767 24.360056  10.923293  42.89743  ]
9d2b7938d426633b28044fe9244db50a_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [19.908281 24.695503 44.41795  14.777012 14.66647 ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [11.894641 13.649767 22.947645 21.05733  40.399727]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [24.701582 11.202103  4.83026  12.039566 13.786993]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [11.508518   7.06993    6.2317677  1.8300607 21.724607 ]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [13.496164 10.270601  9.255729 21.141321 16.510515]
c61ec8875746ab78227375499b768057_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [25.36591  12.263195 13.808667 30.78506  36.252472]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [13.602798  13.907526   7.895624   3.0892751 37.18748  ]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [17.672045  14.288576  10.688507   5.4946322  8.285115 ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [14.809957 13.736377 12.045913 12.591794 32.393436]
216d910f71942f205df3c6413d40ccb2_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [19.815603  12.318069  12.013085   3.1710181 11.536673 ]
fabcb04fc015f822ca8bf2993ca245b_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [17.668827 17.009312 22.118305 52.47544  40.72953 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [25.444477   1.5115622  4.7896495  6.352483   2.2985516]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [23.352074 12.663989  5.420163 18.135906 23.761322]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [38.34062   21.254238  18.194809  14.5411415 30.240984 ]
1a64bf1e658652ddb11647ffa4306609_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [22.959053   7.609715   7.2746825 19.420128  16.620213 ]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [14.631664  17.055859   7.08384    2.0753431 34.30783  ]
825fb860d71c78a477c771b4b7eed82c_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [14.776109   9.020035  11.4751005  5.1123114 40.597237 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [28.85496  11.381457 24.044073 29.457394 42.530075]
a387407d49e209fdeea60824a43a0b_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [15.953234   9.972604  15.713047  50.77626    6.0747128]
6265f0745d3f40546bcd32c43682e841_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [27.438858   6.1945176 10.332976   8.855456  36.54824  ]
a387407d49e209fdeea60824a43a0b_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [23.340023  7.338613 15.558292 19.066244 25.369005]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [11.16717  15.967419  4.079081 18.425007 29.299227]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [18.240398   4.6772003 15.061707  27.842525  21.839146 ]
9c827e532de4967285089a13cc567dbd_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [16.645414 22.336512  8.258939 38.25329  44.29931 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [25.73323  15.948161 11.250311 39.99171  39.736656]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [17.01167    8.056509  48.917652   8.3745575 29.86285  ]
c61ec8875746ab78227375499b768057_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [16.80386    6.5054274 19.95951   23.872711  44.505344 ]
c61ec8875746ab78227375499b768057_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [18.151745   3.2453225 34.116585  22.335869  22.678295 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [35.157875   8.2131605 39.459797  25.86631   38.2641   ]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [10.467533   4.588134   7.4902544 10.394775  50.543716 ]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [20.515438  9.252548 18.872171 39.94825  26.762566]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [27.833935  24.559923   2.8815384 42.295395  20.101377 ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [21.034088  10.529503  20.555084   0.9666444 31.3144   ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [14.65058    4.1267924 17.398283  30.498526  10.294168 ]
9d2b7938d426633b28044fe9244db50a_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [18.172377  8.936715 22.96937  18.558327 11.986851]
6265f0745d3f40546bcd32c43682e841_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [ 7.2424026  7.591906   4.1823816  4.0148044 36.822655 ]
1a64bf1e658652ddb11647ffa4306609_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [29.341105   4.7138543  9.4157715 15.858942   7.998425 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [13.145391   6.7679095 21.459227   5.100012  19.548223 ]
5ec3322293a39816ad7e7cea4034d226_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [10.764401   5.8224435 33.798164  10.85309   41.57039  ]
1a64bf1e658652ddb11647ffa4306609_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [ 8.434148 15.467504  5.300264 29.907652 21.100111]
9d2b7938d426633b28044fe9244db50a_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [15.966797  8.546448 43.26889  22.37059  12.657382]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [15.35124   23.883814  12.644333   1.9336662  4.6387715]
a387407d49e209fdeea60824a43a0b_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [18.957895 13.116311 17.063898 21.902008 22.134056]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [14.154978 10.170335 24.48127  12.912083 30.38305 ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [30.62083    5.2408876 16.233622  16.76357   45.12233  ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [15.342632  13.206327   1.6789191  3.9632084 23.850483 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [36.456814  21.451048  20.32426   24.767405   5.3698997]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [21.304705 25.92418  18.268501 22.362339 42.575665]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [15.144759  16.454103   4.6968374  9.693285   8.688701 ]
7dac31838b627748eb631ba05bd8dfe_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [10.708501  10.83191    6.0433264 11.222873  36.44513  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [20.28519  16.397642 23.448566 12.586802 47.368286]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [25.999481 14.035183 31.24262  20.564716 42.96245 ]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [12.768997 21.485254  9.375547 10.277955 26.438461]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [15.708148 27.271091  9.532014  5.927992 20.264263]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [33.898064  11.196136   4.8209486 35.594997  56.93362  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [24.879747 26.58479  21.048954 35.645554 55.48001 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [17.377094 11.989969 33.35591  35.58908  41.97548 ]
