425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.53187    8.6063595 40.        40.        31.950634 ]
d72ffa185738bccd10b75223b5be6dbb_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [ 6.376258  5.087904  9.030261 13.860687 20.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [12.424385 17.017027 12.182081 19.335243 36.6992  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [16.535152 34.635395 40.       40.       47.77825 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [ 4.797299  5.211299 40.       31.153343 28.133434]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [16.161015 10.666918 12.268402 10.603988 28.734657]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [14.684619 28.877943 15.813283 37.51258  46.02916 ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [14.273162  7.793253 11.663192 40.       11.992584]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [12.611806  17.07308    3.5924113 24.729395  18.968637 ]
4ac021653126a29e98618a1ba17f086b_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [40.784386  34.859814   1.1952186 15.35652    3.430854 ]
1a64bf1e658652ddb11647ffa4306609_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [15.614544   3.9186528  4.299788   6.6140075 43.70261  ]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [26.0954    9.89995  40.       22.49289  33.716156]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [17.491467 28.582579 20.        3.501258 53.23857 ]
cde88b5900e8dfba725a7749daae1afa_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [18.82855    7.7209415 12.375129  26.508913  35.38745  ]
cde88b5900e8dfba725a7749daae1afa_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [24.443506 45.36492  13.66926  20.       31.48333 ]
5ec3322293a39816ad7e7cea4034d226_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.        1.281132 20.       18.786615 38.643696]
c61ec8875746ab78227375499b768057_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [21.327408 38.70772  40.       31.503313 22.902632]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [29.313694 43.884174 28.679937 40.       37.092815]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [12.4858675 21.409306  24.940561  22.238796  34.905968 ]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [ 9.358547  12.863869   1.9380002 22.207615  55.24409  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [11.142861  19.279942   5.0433607 35.4205    18.495792 ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [11.392146   7.6434884  4.2718678  8.382097  42.86812  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [ 5.5625176  1.7129526 21.603045  40.        47.165142 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [ 6.3116894 12.565692  11.431625  20.        49.93077  ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [ 3.5287514 39.851612  17.802551  18.001297  43.211708 ]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [26.854082 10.562225 13.358551 28.778988 24.411263]
a387407d49e209fdeea60824a43a0b_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       26.994455 20.        9.274487 28.924618]
4ac021653126a29e98618a1ba17f086b_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.         5.3275776  3.0008976 11.833896  41.801216 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [ 7.574869 15.495321 40.        9.450398 54.1047  ]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [13.681078    8.748136    0.86600953 23.923662   43.22138   ]
1a64bf1e658652ddb11647ffa4306609_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [15.239403 14.641335 27.37472  39.305893 20.014433]
7c46bfff2f90f11044592db9be5db5c8_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [11.376638   7.7758713  3.3782394 13.06176   40.00377  ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [21.37557   15.1490755 20.        36.1651    18.302803 ]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [14.411962  18.167887   7.9652524 24.173868  50.679672 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [ 9.822988   6.2927837 13.493878   4.2491302 10.755024 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [12.0804825 37.977623  18.579193  20.        20.       ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [19.571505 17.21714  18.630615 18.732567 38.013126]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [20.872358 10.945465  7.732498 24.68903  35.204796]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [ 4.688295   4.2688074  4.7659445 37.843433   4.9507318]
4ac021653126a29e98618a1ba17f086b_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [13.481357   5.0719547  0.8023708 20.114664  41.564976 ]
7dac31838b627748eb631ba05bd8dfe_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [ 4.5308394 15.722359   4.1569357  2.1124773 13.118743 ]
216d910f71942f205df3c6413d40ccb2_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [20.19809   32.24123    6.0912633 16.28267   10.710206 ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       14.038961 40.       20.151615 43.070038]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [19.363392 26.642715 12.360641 49.7782   42.2759  ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.        8.53072  40.       14.853288  8.849701]
5ec3322293a39816ad7e7cea4034d226_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.         3.1180065 40.        10.480079  27.125032 ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [16.517313 48.410885  6.974284 17.926489 57.38283 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [ 3.5404236  5.8284006  3.1536524 13.561248  19.172375 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [19.43812  11.996204  6.39315  33.219276 15.918768]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.        8.798467 20.        6.084786 33.047905]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [20.22267  28.049969 14.22436  10.10578  31.638897]
4458ed2a746e61a3b11647ffa4306609_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.        14.206008  40.        27.71452    7.8017387]
9d2b7938d426633b28044fe9244db50a_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [17.14629    5.472158   2.0317073 19.453997   2.5096207]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [20.410458 16.810944 11.737596 40.82891  36.955868]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [ 8.7380705 14.660497  21.806425   6.4570317 50.9616   ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [15.401085  8.316016 11.200884 20.       12.868866]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [15.138638   5.195966  40.         3.6614113 54.203495 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [25.044058 33.380413 41.366295 42.244038 44.71341 ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       10.460691 40.       19.859556  6.450338]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [12.022757 12.517167 31.398651 47.220276 19.385273]
1a64bf1e658652ddb11647ffa4306609_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [19.1839   20.013432 19.497671 12.057117 29.681976]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       22.06363  20.       17.870237 30.730791]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [ 9.836262  8.906267 10.666045 44.712357 29.436522]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.        11.681431   1.6800991 34.907238  22.315521 ]
216d910f71942f205df3c6413d40ccb2_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [16.083893 16.814898 15.487854 20.995687 22.510914]
5ec3322293a39816ad7e7cea4034d226_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [21.434856   6.3084126 16.345512  20.         6.7914486]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [14.40777    5.665735   1.5461974 10.157882   3.2306306]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [ 1.6206058  1.8820468  2.7216022 21.730453  25.41377  ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [25.811314   9.368904  40.        20.         4.1321135]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.        10.054911   1.4444047 22.050253  28.597136 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [39.99122  21.647768 40.       34.506855 40.179127]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [20.       47.05254  40.       10.618457 38.118076]
c61ec8875746ab78227375499b768057_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [15.620619 25.004591 40.       40.       23.108795]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [20.469782 36.121983 15.109602 52.655025 32.02955 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [31.478592  24.87388   20.         7.3093014 55.20562  ]
c61ec8875746ab78227375499b768057_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [22.981358 42.251385 40.       24.271244 14.557368]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [11.91272 51.61509 16.41016  7.07353 22.61514]
4458ed2a746e61a3b11647ffa4306609_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [17.54372   15.177385  17.644417  40.121548   3.6543722]
fabcb04fc015f822ca8bf2993ca245b_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [31.781513 18.948982 29.870684 39.001663 52.67248 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.         9.005474   0.7591832 28.288687  17.46038  ]
c61ec8875746ab78227375499b768057_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [ 7.04177   21.212667  40.         4.2497983 34.77867  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [24.872957 28.285435 40.       40.419594 48.80742 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [31.090664 52.154022 24.690536 18.090883 34.803734]
c61ec8875746ab78227375499b768057_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [ 2.4497797 19.202156  16.064234  22.443356  29.624474 ]
923007b377bb1cab473f10e6caaeca56_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       19.03862   8.298394 15.848118 10.112244]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 9.115592  9.223108 20.       31.4035   47.869392]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [14.138895 12.962039  4.561269 31.095984 35.268505]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [20.        15.767157  20.        10.545026  11.8821535]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [19.76151  29.508093  2.818438 19.298307 17.832956]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [15.353602  3.717479 40.       13.277955 48.84584 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [21.608809 14.482002 20.       36.792187 18.23969 ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [13.2894335  1.7683833  9.905506   5.5316334  8.110572 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [26.385328 49.60554  22.125835 20.       54.16434 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [ 6.6730185 15.985655   5.9773006 34.075623  38.095676 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 8.614701  7.913428  9.705347  8.942264 22.620928]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [ 8.328471  6.360049  8.713268 21.64315  16.870323]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 9.0975485 16.97992    7.210484  16.160952  55.519917 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [ 5.0883   12.443455 43.601288  7.945165 53.534073]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [13.029869 38.80039   7.895558 12.025879 45.68904 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 9.208185   8.895809   2.9837418  9.634415  44.172523 ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 9.837657 31.632324 16.602915 10.820737 18.136826]
825fb860d71c78a477c771b4b7eed82c_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       11.322192 20.       20.284554 45.33204 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [17.500835 25.855661 18.357046 26.70255  37.24482 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [ 6.046771   5.573435  20.         6.8504086 34.730507 ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [20.76314   32.71943    6.5681505 42.364033  54.317265 ]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [ 6.564121  10.143345   7.1257606 20.        21.579002 ]
c61ec8875746ab78227375499b768057_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [40.       25.081697 20.       15.839762 15.677041]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [19.80102  11.554575  6.430891 29.282894 39.27697 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.77112  30.841492 40.       36.315823 40.9017  ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [ 9.452429  42.957108   4.4790382 29.631748  28.980488 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [20.739326  19.828869   6.7255435 22.955389  26.201473 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [27.377924 13.377734 16.642609 40.       27.705992]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [11.687859 48.694145 18.301016 26.164328 42.360683]
1a64bf1e658652ddb11647ffa4306609_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       30.427397 40.       34.512447 42.666786]
4458ed2a746e61a3b11647ffa4306609_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [19.621906 24.897797 16.855711 35.62863   8.855889]
c61ec8875746ab78227375499b768057_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [19.803907 24.964802 40.       40.       13.714462]
825fb860d71c78a477c771b4b7eed82c_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [15.991612  9.269562 11.130518 19.128891 24.87862 ]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [17.049309 45.601856 20.001736 24.922115 44.585167]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [14.596632 29.317402 16.112167 37.68403  46.036186]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [ 8.594015  20.779856   1.5826566 25.244347  34.003647 ]
5ec3322293a39816ad7e7cea4034d226_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [23.637356 12.332555 22.200644 40.       40.      ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [22.868359 26.357336 11.731602 40.       39.447536]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [12.423426  10.006533  11.685169   5.8818035 17.628265 ]
4ac021653126a29e98618a1ba17f086b_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [12.160467   6.2033315  1.2286626 16.104736  39.06848  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [26.905571 54.986736 25.08179  17.682816 40.844578]
4ac021653126a29e98618a1ba17f086b_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.         9.141027   3.9487052 22.972393  45.790356 ]
825fb860d71c78a477c771b4b7eed82c_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       16.741514 34.310204 24.173788 46.66303 ]
825fb860d71c78a477c771b4b7eed82c_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [10.32263    6.3602004  3.6427276  9.636599  36.591034 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [22.89939  30.883442 20.       20.       48.181114]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [10.962482   6.3908815 14.821165  11.477495  17.346334 ]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [14.989664  25.046572   5.1510477 20.144993   8.954523 ]
4458ed2a746e61a3b11647ffa4306609_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [20.170172  14.7873335 16.053621  19.316406   7.498002 ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [19.376347 30.768482  2.537262 14.925369 55.653614]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [22.50814  26.510643 20.       40.       32.031834]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.         4.0254655  1.7534262 15.624667  18.02067  ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [17.352978 38.28649   8.072033 20.       41.83007 ]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [ 7.555565   5.4617105 15.906039  20.         7.4665594]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [26.024809 31.835142 28.62041  22.182898 21.862999]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [48.096672 37.230003 40.        6.574489 54.22776 ]
